,Homemade food,Restaurant food,Raw vegetables and fruits,Packaged food,Others
Homemade food,1661,508,80,35,0
Restaurant food,643,1141,16,26,0
Raw vegetables and fruits,126,15,302,19,0
Packaged food,119,64,39,214,0
Others,1,3,1,0,0
