cooking_method,count
boil,23146
stir_fry,18992
raw,14547
fry,12710
bake,9487
grill,8870
other,7750
steam,7098
assemble,4652
braise,2735
preserve,2450
stew,2328
roast,2095
saute,2011
unknown,1357
