,count,mean,std,min,25%,50%,75%,max
red_mean,99987.0,0.5718296875753329,0.11001462465536203,0.03777982294559479,0.5065711736679077,0.5710240602493286,0.6367320716381073,0.9931403994560242
green_mean,99987.0,0.48008197307048966,0.10487137410645306,0.04514384642243385,0.41616564989089966,0.4812614321708679,0.5450313687324524,0.9664357304573059
blue_mean,99987.0,0.3808847093950752,0.11415475616684044,0.016731129959225655,0.3066672533750534,0.3809429407119751,0.45345520973205566,0.9549224376678467
red_std,99987.0,0.22339945505703424,0.0510515742993519,0.017133045941591263,0.19022153317928314,0.22208404541015625,0.25489144027233124,0.479590505361557
green_std,99987.0,0.22667331711587158,0.04250905169144225,0.042517900466918945,0.20007695257663727,0.22584529221057892,0.25175514817237854,0.4766220152378082
blue_std,99987.0,0.2388538094687427,0.05123351379391244,0.027273623272776604,0.20598258078098297,0.2377447783946991,0.27059224247932434,0.47435495257377625
entropy,99987.0,7.4438241728748,0.45032551281245,1.1672015190124512,7.368120908737183,7.548573017120361,7.675158977508545,7.9684014320373535
brightness,99987.0,0.4775987909457841,0.09627922311667579,0.044850386679172516,0.41873426735401154,0.4771956205368042,0.53598952293396,0.9573347568511963
sharpness,99987.0,0.016108778278942394,0.008889904488025503,0.00027510125073604286,0.010004371870309114,0.014367838390171528,0.020122598856687546,0.15159903466701508
contrast,99987.0,0.2161389579986314,0.04056432145231892,0.043285831809043884,0.19031557440757751,0.2150142341852188,0.24049736559391022,0.4723517894744873
luminance,99987.0,0.49620605164844045,0.09864680338003037,0.046968881022185084,0.43631926392018794,0.4960601896047592,0.5565092543363571,0.9619641932845114
saturation,99987.0,0.40001287598212293,0.15435824284008684,0.0,0.2857160121202469,0.38671401143074036,0.5014463067054749,0.9467310905456543
