ingredient,count
soba noodles,41
dried fish,40
longan,40
hoisin sauce,40
chips,40
purple cabbage,40
wood ear mushrooms,39
crust,39
cereal,39
chicken patty,39
strawberry flavor,39
leek,38
oatmeal,38
filling (meat or vegetables),38
potato chips,38
chocolate ice cream,38
crab stick,38
cherry,37
citric acid,37
chicken breast,37
beer,37
shiitake mushrooms,37
tart crust,36
ribeye steak,36
fufu,36
raw fish,36
buckwheat,36
powdered sugar,36
caviar,36
scrambled eggs,36
vegetable broth,36
stabilizers,35
roast meat,35
tortilla chips,35
green sauce,35
fried garlic,34
glass noodles,34
red onion,34
vanilla ice cream,34
popcorn,34
whole milk,34
cured meat,34
fried batter,33
black sesame,33
red cabbage,33
century egg,33
turmeric,33
fried bread,33
brown rice,33
coleslaw,32
cooking oil,32
pesto,32
beetroot,32
marinade,32
jalapeño,31
shredded chicken,31
pastry crust,31
pine nuts,31
taco shell,30
omelette,30
guava,30
glaze sauce,30
green tea powder,30
blueberry,29
potato fries,29
glucose syrup,29
sweet syrup,29
soy milk,29
meat or tofu,29
cone,28
egg tart,28
beef skewers,28
whole wheat flour,28
meat patty,28
grilled vegetables,28
ramen noodles,28
crispy topping,28
tea leaves,28
candy,28
matcha powder,28
couscous,28
fried topping,28
almond flour,27
egg white,27
legumes,27
wagyu beef,27
patty,27
insects,27
preserved egg,27
shredded meat,27
loquat,27
roasted duck,27
mixed nuts,26
hazelnut,26
smoked salmon,26
beef flavoring,26
roasted meat,26
white bread,26
corn flour,26
yellow bell pepper,26
tapioca,26
guacamole,26
grilled pork,26
fruit syrup,26
roti,25
skewers,25
decorative icing,25
green fruit,25
bbq sauce,25
marshmallow,25
spicy seasoning,25
rose petal,24
oreo cookie,11
